Date : 2025-06-17 03:41:11
Directory : e:\code\r6box\r6box
Total : 345 files,  102959 codes, 7605 comments, 11670 blanks, all 122234 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| assets\data                                                                               |          2 |      5,805 |          0 |         25 |      5,830 |
| docs                                                                                      |         57 |      9,096 |          0 |      2,447 |     11,543 |
| htscripts                                                                                 |          4 |        294 |         46 |         79 |        419 |
| ios                                                                                       |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                           |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                             |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                           |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                     |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                       |        163 |     55,611 |      6,775 |      7,578 |     69,964 |
| lib (Files)                                                                               |          1 |         89 |         24 |         14 |        127 |
| lib\components                                                                            |         35 |     13,153 |      1,095 |      1,440 |     15,688 |
| lib\components (Files)                                                                    |          2 |      1,013 |         56 |         98 |      1,167 |
| lib\components\common                                                                     |          5 |      1,637 |        139 |        203 |      1,979 |
| lib\components\examples                                                                   |          3 |        969 |         33 |         57 |      1,059 |
| lib\components\layout                                                                     |          3 |        263 |         28 |         47 |        338 |
| lib\components\navigation                                                                 |          1 |        138 |         54 |         16 |        208 |
| lib\components\platform                                                                   |          6 |        360 |          0 |         28 |        388 |
| lib\components\platform\android                                                           |          1 |         61 |          0 |          5 |         66 |
| lib\components\platform\ios                                                               |          1 |         58 |          0 |          5 |         63 |
| lib\components\platform\linux                                                             |          1 |         61 |          0 |          5 |         66 |
| lib\components\platform\macos                                                             |          1 |         61 |          0 |          4 |         65 |
| lib\components\platform\web                                                               |          1 |         58 |          0 |          5 |         63 |
| lib\components\platform\windows                                                           |          1 |         61 |          0 |          4 |         65 |
| lib\components\vfs                                                                        |         13 |      8,516 |        765 |        960 |     10,241 |
| lib\components\vfs (Files)                                                                |          5 |      4,222 |        271 |        413 |      4,906 |
| lib\components\vfs\viewers                                                                |          8 |      4,294 |        494 |        547 |      5,335 |
| lib\components\web                                                                        |          2 |        257 |         20 |         31 |        308 |
| lib\config                                                                                |          4 |        241 |         31 |         57 |        329 |
| lib\data                                                                                  |          7 |      2,168 |        419 |        547 |      3,134 |
| lib\examples                                                                              |          4 |      1,137 |        135 |        150 |      1,422 |
| lib\features                                                                              |         13 |        473 |         59 |        134 |        666 |
| lib\features (Files)                                                                      |          2 |         98 |         19 |         24 |        141 |
| lib\features\component-modules                                                            |          1 |         91 |          4 |         11 |        106 |
| lib\features\page-modules                                                                 |         10 |        284 |         36 |         99 |        419 |
| lib\l10n                                                                                  |          3 |      1,192 |        878 |        628 |      2,698 |
| lib\mixins                                                                                |          1 |         38 |          8 |         11 |         57 |
| lib\models                                                                                |         17 |      2,246 |        179 |        283 |      2,708 |
| lib\pages                                                                                 |         38 |     24,325 |      2,541 |      2,504 |     29,370 |
| lib\pages\config                                                                          |          1 |        218 |          3 |         21 |        242 |
| lib\pages\demo                                                                            |          2 |        561 |         19 |         39 |        619 |
| lib\pages\home                                                                            |          1 |        225 |          6 |         14 |        245 |
| lib\pages\legend_manager                                                                  |          1 |        434 |         11 |         31 |        476 |
| lib\pages\map_atlas                                                                       |          1 |        483 |         19 |         35 |        537 |
| lib\pages\map_editor                                                                      |         22 |     16,810 |      2,162 |      1,827 |     20,799 |
| lib\pages\map_editor (Files)                                                              |          1 |      2,819 |        829 |        431 |      4,079 |
| lib\pages\map_editor\renderers                                                            |          5 |      1,075 |        134 |        146 |      1,355 |
| lib\pages\map_editor\tools                                                                |          2 |      1,204 |        103 |        143 |      1,450 |
| lib\pages\map_editor\utils                                                                |          1 |        535 |         93 |        123 |        751 |
| lib\pages\map_editor\widgets                                                              |         13 |     11,177 |      1,003 |        984 |     13,164 |
| lib\pages\settings                                                                        |          7 |      2,452 |         70 |        211 |      2,733 |
| lib\pages\settings (Files)                                                                |          2 |        361 |         10 |         32 |        403 |
| lib\pages\settings\widgets                                                                |          5 |      2,091 |         60 |        179 |      2,330 |
| lib\pages\test                                                                            |          1 |         42 |          1 |          3 |         46 |
| lib\pages\vfs                                                                             |          2 |      3,100 |        250 |        323 |      3,673 |
| lib\providers                                                                             |          3 |        660 |         62 |         96 |        818 |
| lib\router                                                                                |          1 |         64 |          9 |          5 |         78 |
| lib\services                                                                              |         30 |      9,360 |      1,218 |      1,622 |     12,200 |
| lib\services (Files)                                                                      |          8 |      1,542 |        213 |        237 |      1,992 |
| lib\services\legend_vfs                                                                   |          2 |        458 |        122 |        105 |        685 |
| lib\services\reactive_version                                                             |          2 |      1,011 |        152 |        179 |      1,342 |
| lib\services\scripting                                                                    |          1 |        531 |         50 |        133 |        714 |
| lib\services\user_preferences                                                             |          3 |        784 |        116 |        153 |      1,053 |
| lib\services\vfs                                                                          |          1 |        282 |         27 |         37 |        346 |
| lib\services\vfs_map_storage                                                              |          6 |      2,026 |        211 |        296 |      2,533 |
| lib\services\virtual_file_system                                                          |          7 |      2,726 |        327 |        482 |      3,535 |
| lib\utils                                                                                 |          6 |        465 |        117 |         87 |        669 |
| linux                                                                                     |          9 |        355 |         37 |         92 |        484 |
| linux (Files)                                                                             |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                             |          4 |        135 |          9 |         27 |        171 |
| linux\runner                                                                              |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                     |          6 |        471 |          5 |         17 |        493 |
| macos\Flutter                                                                             |          1 |         30 |          3 |          4 |         37 |
| macos\Runner                                                                              |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                      |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                         |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                           |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                   |          1 |        343 |          0 |          1 |        344 |
| scripts                                                                                   |         11 |        877 |        102 |        171 |      1,150 |
| test                                                                                      |         27 |      3,247 |        365 |        600 |      4,212 |
| test (Files)                                                                              |         26 |      3,020 |        336 |        551 |      3,907 |
| test\integration                                                                          |          1 |        227 |         29 |         49 |        305 |
| web                                                                                       |          5 |     24,245 |         24 |        255 |     24,524 |
| web (Files)                                                                               |          4 |     24,223 |         18 |        250 |     24,491 |
| web\js                                                                                    |          1 |         22 |          6 |          5 |         33 |
| windows                                                                                   |         14 |        699 |         94 |        188 |        981 |
| windows (Files)                                                                           |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                           |          4 |        148 |          9 |         29 |        186 |
| windows\runner                                                                            |          9 |        462 |         85 |        139 |        686 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                  | language                | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\details.md                         | Markdown                |        139 |          0 |          6 |        145 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\diff-details.md                    | Markdown                |        139 |          0 |          6 |        145 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\diff.md                            | Markdown                |        105 |          0 |          7 |        112 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\results.json                       | JSON                    |          1 |          0 |          0 |          1 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-29_00-48-49\results.md                         | Markdown                |        105 |          0 |          7 |        112 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\details.md                         | Markdown                |        163 |          0 |          6 |        169 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\diff-details.md                    | Markdown                |         56 |          0 |          6 |         62 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\diff.md                            | Markdown                |         52 |          0 |          7 |         59 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\results.json                       | JSON                    |          1 |          0 |          0 |          1 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-05-30_22-18-18\results.md                         | Markdown                |        112 |          0 |          7 |        119 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\details.md                         | Markdown                |        174 |          0 |          6 |        180 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\diff-details.md                    | Markdown                |         58 |          0 |          6 |         64 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\diff.md                            | Markdown                |         51 |          0 |          7 |         58 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\results.json                       | JSON                    |          1 |          0 |          0 |          1 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-02_02-54-14\results.md                         | Markdown                |        117 |          0 |          7 |        124 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-03_07-07-07\details.md                         | Markdown                |        183 |          0 |          6 |        189 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-03_07-07-07\diff-details.md                    | Markdown                |         39 |          0 |          6 |         45 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-03_07-07-07\diff.md                            | Markdown                |         44 |          0 |          7 |         51 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-03_07-07-07\results.json                       | JSON                    |          1 |          0 |          0 |          1 |
| e:\code\r6box\r6box\.VSCodeCounter\2025-06-03_07-07-07\results.md                         | Markdown                |        119 |          0 |          7 |        126 |
| e:\code\r6box\r6box\.env                                                                  | Properties              |          0 |          0 |          1 |          1 |
| e:\code\r6box\r6box\.github\README_DEPLOYMENT.md                                          | Markdown                |         58 |          0 |         23 |         81 |
| e:\code\r6box\r6box\.github\workflows\deploy.yml                                          | YAML                    |         66 |          4 |         12 |         82 |
| e:\code\r6box\r6box\README.md                                                             | Markdown                |         73 |          0 |         25 |         98 |
| e:\code\r6box\r6box\analysis_options.yaml                                                 | YAML                    |          4 |         21 |          4 |         29 |
| e:\code\r6box\r6box\android\app\src\debug\AndroidManifest.xml                             | XML                     |          3 |          4 |          1 |          8 |
| e:\code\r6box\r6box\android\app\src\main\AndroidManifest.xml                              | XML                     |         34 |         11 |          1 |         46 |
| e:\code\r6box\r6box\android\app\src\main\res\drawable-v21\launch_background.xml           | XML                     |          4 |          7 |          2 |         13 |
| e:\code\r6box\r6box\android\app\src\main\res\drawable\launch_background.xml               | XML                     |          4 |          7 |          2 |         13 |
| e:\code\r6box\r6box\android\app\src\main\res\values-night\styles.xml                      | XML                     |          9 |          9 |          1 |         19 |
| e:\code\r6box\r6box\android\app\src\main\res\values\styles.xml                            | XML                     |          9 |          9 |          1 |         19 |
| e:\code\r6box\r6box\android\app\src\profile\AndroidManifest.xml                           | XML                     |          3 |          4 |          1 |          8 |
| e:\code\r6box\r6box\android\gradle.properties                                             | Properties              |          3 |          0 |          1 |          4 |
| e:\code\r6box\r6box\android\gradle\wrapper\gradle-wrapper.properties                      | Properties              |          5 |          0 |          1 |          6 |
| e:\code\r6box\r6box\assets\config\1.json                                                  | JSON                    |          6 |          0 |          0 |          6 |
| e:\code\r6box\r6box\assets\config\app_config.json                                         | JSON                    |         27 |          0 |          1 |         28 |
| e:\code\r6box\r6box\assets\data\exported_database.json                                    | JSON                    |      5,760 |          0 |          0 |      5,760 |
| e:\code\r6box\r6box\assets\data\latex_test.md                                             | Markdown                |         45 |          0 |         25 |         70 |
| e:\code\r6box\r6box\devtools_options.yaml                                                 | YAML                    |          3 |          0 |          1 |          4 |
| e:\code\r6box\r6box\docs\ARCHITECTURE_DESIGN_DOCUMENT.md                                  | Markdown                |        373 |          0 |         87 |        460 |
| e:\code\r6box\r6box\docs\ASYNC_SCRIPT_ENGINE_FINAL_SUMMARY.md                             | Markdown                |        151 |          0 |         43 |        194 |
| e:\code\r6box\r6box\docs\AUTO_CLOSE_FEATURE.md                                            | Markdown                |         71 |          0 |         22 |         93 |
| e:\code\r6box\r6box\docs\DEPLOYMENT_COMPLETE.md                                           | Markdown                |         58 |          0 |         18 |         76 |
| e:\code\r6box\r6box\docs\DEPLOYMENT_GUIDE.md                                              | Markdown                |        121 |          0 |         39 |        160 |
| e:\code\r6box\r6box\docs\DRAWING_TOOLS_OPTIMIZATION.md                                    | Markdown                |        119 |          0 |         27 |        146 |
| e:\code\r6box\r6box\docs\ERASER_AABB_OPTIMIZATION.md                                      | Markdown                |         45 |          0 |         15 |         60 |
| e:\code\r6box\r6box\docs\EXTERNAL_FUNCTIONS_STATUS_REPORT.md                              | Markdown                |        111 |          0 |         32 |        143 |
| e:\code\r6box\r6box\docs\FILTER_ELEMENTS_TAG_EXAMPLES.md                                  | Markdown                |        251 |          0 |         65 |        316 |
| e:\code\r6box\r6box\docs\FLOATING_WINDOW_USAGE.md                                         | Markdown                |        257 |          0 |         55 |        312 |
| e:\code\r6box\r6box\docs\FRAMEWORK_README.md                                              | Markdown                |        202 |          0 |         63 |        265 |
| e:\code\r6box\r6box\docs\HETU.md                                                          | Markdown                |        729 |          0 |        176 |        905 |
| e:\code\r6box\r6box\docs\HTML_RENDERING_TEST.md                                           | Markdown                |        103 |          0 |         25 |        128 |
| e:\code\r6box\r6box\docs\IMAGE_AREA_TOOL.md                                               | Markdown                |        115 |          0 |         29 |        144 |
| e:\code\r6box\r6box\docs\IMAGE_AREA_TOOL_COMPLETION.md                                    | Markdown                |         84 |          0 |         24 |        108 |
| e:\code\r6box\r6box\docs\LATEX_TEST.md                                                    | Markdown                |         32 |          0 |         29 |         61 |
| e:\code\r6box\r6box\docs\LAYER_BACKGROUND_REACTIVE_INTEGRATION_FIX.md                     | Markdown                |        202 |          0 |         47 |        249 |
| e:\code\r6box\r6box\docs\LAYER_STICKYNOTE_SCRIPT_FUNCTIONS.md                             | Markdown                |        476 |          0 |        127 |        603 |
| e:\code\r6box\r6box\docs\LAYER_SYSTEM_FINAL.md                                            | Markdown                |        100 |          0 |         28 |        128 |
| e:\code\r6box\r6box\docs\LAYER_SYSTEM_IMPROVEMENTS.md                                     | Markdown                |         53 |          0 |         15 |         68 |
| e:\code\r6box\r6box\docs\LEGACY_TO_REACTIVE_MIGRATION_COMPLETE.md                         | Markdown                |        123 |          0 |         26 |        149 |
| e:\code\r6box\r6box\docs\LEGEND_SCRIPT_FUNCTIONS.md                                       | Markdown                |        365 |          0 |        101 |        466 |
| e:\code\r6box\r6box\docs\MARKDOWN_RENDERER_REFACTOR_COMPLETE.md                           | Markdown                |         86 |          0 |         19 |        105 |
| e:\code\r6box\r6box\docs\NEW_SCRIPT_COMPONENTS_USAGE_GUIDE.md                             | Markdown                |        293 |          0 |         73 |        366 |
| e:\code\r6box\r6box\docs\OPACITY_OPTIMIZATION.md                                          | Markdown                |         80 |          0 |         21 |        101 |
| e:\code\r6box\r6box\docs\PANEL_STATE_OPTIMIZATION.md                                      | Markdown                |         66 |          0 |         27 |         93 |
| e:\code\r6box\r6box\docs\QUICK_DEPLOY_GUIDE.md                                            | Markdown                |         50 |          0 |         21 |         71 |
| e:\code\r6box\r6box\docs\REACTIVE_VERSION_INTEGRATION_COMPLETE.md                         | Markdown                |        230 |          0 |         56 |        286 |
| e:\code\r6box\r6box\docs\REACTIVE_VERSION_INTEGRATION_SUMMARY.md                          | Markdown                |         40 |          0 |         16 |         56 |
| e:\code\r6box\r6box\docs\REACTIVE_VERSION_MANAGEMENT.md                                   | Markdown                |        259 |          0 |         70 |        329 |
| e:\code\r6box\r6box\docs\SCRIPT_ENGINE_EXTERNAL_FUNCTIONS_FIX.md                          | Markdown                |        159 |          0 |         52 |        211 |
| e:\code\r6box\r6box\docs\SCRIPT_ENGINE_REFACTOR_COMPLETE.md                               | Markdown                |        147 |          0 |         40 |        187 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_BACKGROUND_ASSET_FIX.md                              | Markdown                |        168 |          0 |         46 |        214 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_BACKGROUND_ASSET_TIMING_FIX.md                       | Markdown                |        124 |          0 |         39 |        163 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_DRAWING_DATA_FIX.md                                  | Markdown                |         89 |          0 |         25 |        114 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_DRAWING_FEATURE.md                                   | Markdown                |         63 |          0 |         30 |         93 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_FILTER_EXAMPLE.md                                    | Markdown                |        144 |          0 |         31 |        175 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_FILTER_FUNCTIONS.md                                  | Markdown                |        217 |          0 |         58 |        275 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_REACTIVE_REFACTOR_COMPLETE.md                        | Markdown                |         41 |          0 |          1 |         42 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_SYNC_MECHANISM.md                                    | Markdown                |        200 |          0 |         37 |        237 |
| e:\code\r6box\r6box\docs\STICKY_NOTE_VERSION_SWITCH_FIX.md                                | Markdown                |         87 |          0 |         28 |        115 |
| e:\code\r6box\r6box\docs\SYSTEM_INTERACTION_DIAGRAMS.md                                   | Markdown                |        318 |          0 |         89 |        407 |
| e:\code\r6box\r6box\docs\USER_PREFERENCES_DATABASE_MIGRATION.md                           | Markdown                |         65 |          0 |         13 |         78 |
| e:\code\r6box\r6box\docs\VFS_FILES_ONLY_MODE_DESIGN.md                                    | Markdown                |        189 |          0 |         54 |        243 |
| e:\code\r6box\r6box\docs\VFS_FILES_ONLY_MODE_IMPLEMENTATION_SUMMARY.md                    | Markdown                |        105 |          0 |         37 |        142 |
| e:\code\r6box\r6box\docs\VFS_FILE_PICKER_USAGE.md                                         | Markdown                |        144 |          0 |         49 |        193 |
| e:\code\r6box\r6box\docs\VFS_MAP_STORAGE_DESIGN.md                                        | Markdown                |        633 |          0 |        118 |        751 |
| e:\code\r6box\r6box\docs\VFS_MAP_STORAGE_USAGE.md                                         | Markdown                |        291 |          0 |         78 |        369 |
| e:\code\r6box\r6box\docs\VFS_MARKDOWN_RENDERER_USAGE.md                                   | Markdown                |        186 |          0 |         41 |        227 |
| e:\code\r6box\r6box\docs\VFS_MARKDOWN_TEST.md                                             | Markdown                |        159 |          0 |         49 |        208 |
| e:\code\r6box\r6box\docs\WEB_PLATFORM_GUIDE.md                                            | Markdown                |         69 |          0 |         39 |        108 |
| e:\code\r6box\r6box\docs\test_import_functionality.md                                     | Markdown                |         52 |          0 |         11 |         63 |
| e:\code\r6box\r6box\docs\test_legend_auto_deselection.md                                  | Markdown                |         60 |          0 |         15 |         75 |
| e:\code\r6box\r6box\docs\test_legend_selection_validation.md                              | Markdown                |         56 |          0 |         22 |         78 |
| e:\code\r6box\r6box\docs\test_video.md                                                    | Markdown                |         33 |          0 |         20 |         53 |
| e:\code\r6box\r6box\docs\test_video_complete.md                                           | Markdown                |         38 |          0 |         19 |         57 |
| e:\code\r6box\r6box\docs\test_video_simple.md                                             | Markdown                |         14 |          0 |         10 |         24 |
| e:\code\r6box\r6box\htscripts\fan.ht                                                      | hetu                    |         19 |          8 |          6 |         33 |
| e:\code\r6box\r6box\htscripts\future_test.ht                                              | hetu                    |        116 |         20 |         33 |        169 |
| e:\code\r6box\r6box\htscripts\performance_test.ht                                         | hetu                    |        120 |         13 |         30 |        163 |
| e:\code\r6box\r6box\htscripts\simple_future_test.ht                                       | hetu                    |         39 |          5 |         10 |         54 |
| e:\code\r6box\r6box\ios\RunnerTests\RunnerTests.swift                                     | Swift                   |          7 |          2 |          4 |         13 |
| e:\code\r6box\r6box\ios\Runner\AppDelegate.swift                                          | Swift                   |         12 |          0 |          2 |         14 |
| e:\code\r6box\r6box\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json           | JSON                    |        122 |          0 |          1 |        123 |
| e:\code\r6box\r6box\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json         | JSON                    |         23 |          0 |          1 |         24 |
| e:\code\r6box\r6box\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md             | Markdown                |          3 |          0 |          2 |          5 |
| e:\code\r6box\r6box\ios\Runner\Base.lproj\LaunchScreen.storyboard                         | XML                     |         36 |          1 |          1 |         38 |
| e:\code\r6box\r6box\ios\Runner\Base.lproj\Main.storyboard                                 | XML                     |         25 |          1 |          1 |         27 |
| e:\code\r6box\r6box\ios\Runner\Runner-Bridging-Header.h                                   | C++                     |          1 |          0 |          1 |          2 |
| e:\code\r6box\r6box\l10n.yaml                                                             | YAML                    |          4 |          0 |          1 |          5 |
| e:\code\r6box\r6box\lib\components\background_image_settings_dialog.dart                  | Dart                    |        467 |         18 |         28 |        513 |
| e:\code\r6box\r6box\lib\components\color_picker_dialog.dart                               | Dart                    |        546 |         38 |         70 |        654 |
| e:\code\r6box\r6box\lib\components\common\center_point_selector.dart                      | Dart                    |        148 |          6 |         15 |        169 |
| e:\code\r6box\r6box\lib\components\common\config_aware_widgets.dart                       | Dart                    |        157 |         12 |         21 |        190 |
| e:\code\r6box\r6box\lib\components\common\floating_window.dart                            | Dart                    |        487 |         45 |         70 |        602 |
| e:\code\r6box\r6box\lib\components\common\platform_aware_component.dart                   | Dart                    |         61 |          2 |          5 |         68 |
| e:\code\r6box\r6box\lib\components\common\tags_manager.dart                               | Dart                    |        784 |         74 |         92 |        950 |
| e:\code\r6box\r6box\lib\components\examples\floating_window_examples.dart                 | Dart                    |        434 |         16 |         24 |        474 |
| e:\code\r6box\r6box\lib\components\examples\simple_floating_window_demo.dart              | Dart                    |        327 |         12 |         23 |        362 |
| e:\code\r6box\r6box\lib\components\examples\web_context_menu_example.dart                 | Dart                    |        208 |          5 |         10 |        223 |
| e:\code\r6box\r6box\lib\components\layout\app_shell.dart                                  | Dart                    |        133 |         12 |         20 |        165 |
| e:\code\r6box\r6box\lib\components\layout\main_layout.dart                                | Dart                    |        103 |         13 |         18 |        134 |
| e:\code\r6box\r6box\lib\components\layout\page_configuration.dart                         | Dart                    |         27 |          3 |          9 |         39 |
| e:\code\r6box\r6box\lib\components\navigation\tray_navigation.dart                        | Dart                    |        138 |         54 |         16 |        208 |
| e:\code\r6box\r6box\lib\components\platform\android\android_component.dart                | Dart                    |         61 |          0 |          5 |         66 |
| e:\code\r6box\r6box\lib\components\platform\ios\ios_component.dart                        | Dart                    |         58 |          0 |          5 |         63 |
| e:\code\r6box\r6box\lib\components\platform\linux\linux_component.dart                    | Dart                    |         61 |          0 |          5 |         66 |
| e:\code\r6box\r6box\lib\components\platform\macos\macos_component.dart                    | Dart                    |         61 |          0 |          4 |         65 |
| e:\code\r6box\r6box\lib\components\platform\web\web_component.dart                        | Dart                    |         58 |          0 |          5 |         63 |
| e:\code\r6box\r6box\lib\components\platform\windows\windows_component.dart                | Dart                    |         61 |          0 |          4 |         65 |
| e:\code\r6box\r6box\lib\components\vfs\vfs_file_metadata_dialog.dart                      | Dart                    |        242 |          5 |         20 |        267 |
| e:\code\r6box\r6box\lib\components\vfs\vfs_file_picker_window.dart                        | Dart                    |      3,000 |        239 |        308 |      3,547 |
| e:\code\r6box\r6box\lib\components\vfs\vfs_file_rename_dialog.dart                        | Dart                    |        252 |          7 |         24 |        283 |
| e:\code\r6box\r6box\lib\components\vfs\vfs_file_search_dialog.dart                        | Dart                    |        405 |         12 |         29 |        446 |
| e:\code\r6box\r6box\lib\components\vfs\vfs_permission_dialog.dart                         | Dart                    |        323 |          8 |         32 |        363 |
| e:\code\r6box\r6box\lib\components\vfs\viewers\html_processor.dart                        | Dart                    |        933 |        141 |        158 |      1,232 |
| e:\code\r6box\r6box\lib\components\vfs\viewers\latex_processor.dart                       | Dart                    |        322 |         49 |         41 |        412 |
| e:\code\r6box\r6box\lib\components\vfs\viewers\media_kit_video_player.dart                | Dart                    |        241 |         21 |         29 |        291 |
