Date : 2025-06-17 03:41:11
Directory : e:\code\r6box\r6box
Total : 345 files,  102959 codes, 7605 comments, 11670 blanks, all 122234 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| Dart                    |        196 |     59,516 |      7,202 |      8,292 |     75,010 |
| WebAssembly Text Format |          1 |     14,659 |          0 |        242 |     14,901 |
| Markdown                |         77 |     10,931 |          0 |      2,626 |     13,557 |
| JavaScript              |          2 |      9,526 |          7 |          7 |      9,540 |
| JSON                    |         11 |      6,046 |          0 |          5 |      6,051 |
| C++                     |         16 |        582 |        131 |        189 |        902 |
| CMake                   |          8 |        473 |          0 |         92 |        565 |
| XML                     |         10 |        470 |         53 |         12 |        535 |
| hetu                    |          4 |        294 |         46 |         79 |        419 |
| PowerShell              |          3 |        142 |         22 |         35 |        199 |
| YAML                    |          5 |        132 |        102 |         40 |        274 |
| Swift                   |          6 |         79 |          7 |         21 |        107 |
| Shell Script            |          2 |         77 |         18 |         22 |        117 |
| HTML                    |          1 |         24 |         17 |          5 |         46 |
| Properties              |          3 |          8 |          0 |          3 |         11 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        345 |    102,959 |      7,605 |     11,670 |    122,234 |
| . (Files)                                                                                 |          6 |        139 |         98 |         54 |        291 |
| .VSCodeCounter                                                                            |         20 |      1,660 |          0 |        104 |      1,764 |
| .VSCodeCounter\2025-05-29_00-48-49                                                        |          5 |        489 |          0 |         26 |        515 |
| .VSCodeCounter\2025-05-30_22-18-18                                                        |          5 |        384 |          0 |         26 |        410 |
| .VSCodeCounter\2025-06-02_02-54-14                                                        |          5 |        401 |          0 |         26 |        427 |
| .VSCodeCounter\2025-06-03_07-07-07                                                        |          5 |        386 |          0 |         26 |        412 |
| .github                                                                                   |          2 |        124 |          4 |         35 |        163 |
| .github (Files)                                                                           |          1 |         58 |          0 |         23 |         81 |
| .github\workflows                                                                         |          1 |         66 |          4 |         12 |         82 |
| android                                                                                   |          9 |         74 |         51 |         11 |        136 |
| android (Files)                                                                           |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                               |          7 |         66 |         51 |          9 |        126 |
| android\app\src                                                                           |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                      |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                              |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                  |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                     |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                            |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                    |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                    |          4 |      5,838 |          0 |         26 |      5,864 |
| assets\config                                                                             |          2 |         33 |          0 |          1 |         34 |
